pmid,status,pmcid,oa_url
26670971,still_missing,,https://jamanetwork.com/journals/jama/articlepdf/2475463/jpc150007.pdf
29260225,still_missing,PMC5820703,https://jamanetwork.com/journals/jama/articlepdf/2666504/jama_stupp_2017_oi_170143.pdf
32478924,still_missing,,https://acsjournals.onlinelibrary.wiley.com/doi/pdfdirect/10.3322/caac.21613
33826908,still_missing,,http://www.cell.com/article/S0092867421002233/pdf
33840627,still_missing,,http://www.clinical-breast-cancer.com/article/S1526820921000598/pdf
34894519,still_missing,,https://doi.org/10.1016/j.biopha.2021.112512
37312610,still_missing,,https://dr.ntu.edu.sg/bitstream/10356/171012/2/Polymeric%20STING%20Pro-agonists%20for%20Tumor-Specific%20Sonodynamic%20Immunotherapy.pdf
37495877,still_missing,PMC12522170,https://pmc.ncbi.nlm.nih.gov/articles/PMC12522170/pdf/nihms-2110220.pdf
38168996,still_missing,,https://infoscience.epfl.ch/handle/20.500.14299/205010
39604730,still_missing,PMC12704925,https://pmc.ncbi.nlm.nih.gov/articles/PMC12704925/pdf/nihms-2122299.pdf
39617017,still_missing,PMC12918653,https://doi.org/10.1016/s1470-2045(24)00508-4
39826543,still_missing,,https://doi.org/10.1016/j.cell.2024.12.010
41417728,still_missing,,https://doi.org/10.1016/j.celrep.2025.116738
41833681,still_missing,,https://doi.org/10.1016/j.pdpdt.2026.105442
