pmid,pmcid,oa_status,journal,in_pmc_oa_subset,error
19660870,PMC2784186,closed,Cancer treatment reviews,False,
20866097,PMC2997921,closed,Molecular pharmaceutics,False,
22033517,PMC3280949,closed,"Science (New York, N.Y.)",False,
22542702,PMC3413735,closed,Bio Systems,False,
22586319,PMC4211116,closed,Cancer discovery,False,
22778154,PMC3551628,closed,Molecular cancer therapeutics,False,
23196890,PMC3528107,closed,Physical biology,False,
23749887,PMC3709593,unknown,Anticancer research,False,
24562770,PMC4318538,closed,Breast cancer research and treatment,False,
25003941,PMC4137229,closed,Physics in medicine and biology,False,
26079252,PMC4808585,closed,Critical reviews in clinical laboratory sciences,False,
26719576,PMC4747838,closed,Molecular cancer therapeutics,False,
26773162,PMC4717912,closed,Clinical cancer research : an official journal of the American Association for Cancer Research,False,
27693939,PMC5108677,closed,"Bioelectrochemistry (Amsterdam, Netherlands)",False,
27815355,PMC5413401,closed,Clinical cancer research : an official journal of the American Association for Cancer Research,False,
28138868,PMC5576028,closed,"Medical oncology (Northwood, London, England)",False,
28148839,PMC5435119,closed,Science translational medicine,False,
28493544,PMC5647195,closed,Journal of surgical oncology,False,
29144754,PMC5821496,closed,Nano letters,False,
29174271,PMC5835831,closed,Journal of shoulder and elbow surgery,False,
29180466,PMC5811386,closed,Cancer research,False,
29431697,PMC5882515,closed,Cancer discovery,False,
29492540,PMC6340641,closed,Acta neurochirurgica. Supplement,False,
29777637,PMC6105452,closed,Journal of oral pathology & medicine : official publication of the International Association of Oral Pathologists and the American Academy of Oral Pathology,False,
30240926,PMC6289793,closed,Photodiagnosis and photodynamic therapy,False,
30277116,PMC6445778,closed,Leukemia & lymphoma,False,
30339360,PMC6702128,closed,ACS applied materials & interfaces,False,
30341213,PMC6279584,closed,Cancer immunology research,False,
30415456,PMC6414051,closed,Journal of neuro-oncology,False,
30866031,PMC7278092,unknown,"Oncology (Williston Park, N.Y.)",False,
30911535,PMC6430577,closed,Clinical and translational imaging,False,
31409607,PMC6774877,closed,Cancer immunology research,False,
31451760,PMC6911768,closed,Nature chemical biology,False,
31636445,PMC7030949,closed,Nature reviews. Nephrology,False,
24617941,PMC4033660,closed,ACS chemical biology,True,
25425556,PMC4244194,closed,Molecular biology of the cell,True,
26148236,PMC4703574,closed,Oncogene,True,
26175922,PMC4493379,unknown,Cancer biology & medicine,True,
27779616,PMC5387692,closed,Gene therapy,True,
28436963,PMC5500418,closed,Nature nanotechnology,True,
28518093,PMC5607886,closed,Journal of visualized experiments : JoVE,True,
29957755,PMC6179019,unknown,Acta bio-medica : Atenei Parmensis,True,
30804551,PMC6519746,closed,Nature methods,True,
31061552,PMC6500412,unknown,The Ulster medical journal,True,
32167722,PMC7088479,unknown,International braz j urol : official journal of the Brazilian Society of Urology,True,
33371210,PMC7766508,unknown,Cancers,True,
34452286,PMC8402873,unknown,Viruses,True,
34487074,PMC8477121,unknown,Acta bio-medica : Atenei Parmensis,True,
35326718,PMC8946145,unknown,Cancers,True,
36975207,PMC10129324,unknown,eLife,True,
37749042,PMC10509630,unknown,Zhonghua xue ye xue za zhi = Zhonghua xueyexue zazhi,True,
38139386,PMC10743753,unknown,International journal of molecular sciences,True,
38659636,PMC11042410,unknown,ArXiv,True,
38769830,PMC11110296,unknown,Zhongguo fei ai za zhi = Chinese journal of lung cancer,True,
39492586,PMC11534552,unknown,Zhongguo fei ai za zhi = Chinese journal of lung cancer,True,
39507962,PMC11536237,unknown,Sichuan da xue xue bao. Yi xue ban = Journal of Sichuan University. Medical science edition,True,
40935640,PMC12438687,unknown,Zhongguo fei ai za zhi = Chinese journal of lung cancer,True,
41231502,PMC12616531,closed,JAMA oncology,True,
41261913,PMC12667681,closed,Pharmacogenomics,True,
41309253,PMC12666423,unknown,Zhongguo fei ai za zhi = Chinese journal of lung cancer,True,
41622931,PMC12883947,unknown,Zhongguo fei ai za zhi = Chinese journal of lung cancer,True,
